Yeovilton
Location: 355100E 123200N, Lat 51.006 Lon -2.641, 20 metres amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1964   9   20     8       0    37     ---
   1964  10   13     4       5    77     ---
   1964  11   11     4       3    45     ---
   1964  12    7     0      17    65     ---
   1965   1    7     0      14    74     ---
   1965   2    6     0      13     3     ---
   1965   3   10     1      12    75     ---
   1965   4   13     3       6    32     ---
   1965   5   16     7       1    59     ---
   1965   6   19     9       0    41     ---
   1965   7   18    10       0   155     ---
   1965   8   19    10       0    89     ---
   1965   9   16     8       0    77     ---
   1965  10   16     7       1    16     ---
   1965  11    9     2      12    88     ---
   1965  12    9     1       8    94     ---
   1966   1    6     1      11    54     ---
   1966   2    9     4       0   100     ---
   1966   3   11     2       6    19     ---
   1966   4   12     4       1    95     ---
   1966   5   16     6       0    73     ---
   1966   6   20    10       0    49     ---
   1966   7   20    10       0    54     ---
   1966   8   20    10       0   106     ---
   1966   9   19     9       0    20     ---
   1966  10   14     6       2   126     ---
   1966  11    9     2       6    90     ---
   1966  12   10     2       7    83     ---
   1967   1    7     1      12    67     ---
   1967   2    9     1      11    78     ---
   1967   3   11     3       4    53     ---
   1967   4   12     4       4    16     ---
   1967   5   15     6       2   131     ---
   1967   6   20     9       0    23     ---
   1967   7   21    11       0    65     ---
   1967   8   20    11       0    42     ---
   1967   9   17    10       0    86     ---
   1967  10   14     8       0   133     ---
   1967  11    9     1      10    38     ---
   1967  12    8     1      13    53     ---
   1968   1    8     2       9    59     ---
   1968   2    5     1      19    48     ---
   1968   3   10     1      10    23     ---
   1968   4   12     2       9    56     ---
   1968   5   15     5       0    51     ---
   1968   6   19    10       0    66     ---
   1968   7   20    10       0    89     ---
   1968   8   19    12       0    48     ---
   1968   9   18    10       0    98     ---
   1968  10   16    10       0    58     ---
   1968  11   10     4       5    55     ---
   1968  12    6     0      16    61     ---
   1969   1    9     3       6    74     ---
   1969   2    5     1      15    93     ---
   1969   3    9     1       9    51     ---
   1969   4   13     3       5    36     ---
   1969   5   15     7       1    88     ---
   1969   6   19     9       0    30     ---
   1969   7   22    11       0    81     ---
   1969   8   20    12       0    45     ---
   1969   9   18    10       1    56     ---
   1969  10   17     8       1    10     ---
   1969  11   10     2       9   118     ---
   1969  12    7     0      15    68     ---
   1970   1    8     0      10   112     ---
   1970   2    7     0      13    54     ---
   1970   3    8     0      13    34     ---
   1970   4   11     2      10    46     ---
   1970   5   18     7       0    20     ---
   1970   6   21    10       0    42     ---
   1970   7   20    11       0    55     ---
   1970   8   20    11       0   100     ---
   1970   9   19    10       0    65     ---
   1970  10   15     7       2    17     ---
   1970  11   12     5       2   140     ---
   1970  12    7     1      15    36     ---
   1971   1    8     2       7   119     ---
   1971   2    8     0      13    27     ---
   1971   3    9     1      10    51     ---
   1971   4   12     3       2    63     ---
   1971   5   17     6       1    32     ---
   1971   6   17     8       0   112     ---
   1971   7   23    11       0    28     ---
   1971   8   20    11       0    88     ---
   1971   9   20     8       0     7     ---
   1971  10   17     7       1    49     ---
   1971  11   11     1      11    67     ---
   1971  12    9     4       4    44     ---
   1972   1    7     1       9    91     ---
   1972   2    8     2       4   108     ---
   1972   3   11     1       7    85     ---
   1972   4   13     4       4    53     ---
   1972   5   14     6       1    57     ---
   1972   6   15     7       0    78     ---
   1972   7   20    11       0    35     ---
   1972   8   20    10       0    41     ---
   1972   9   17     7       0    28     ---
   1972  10   15     6       4    36     ---
   1972  11   10     1      11    96     ---
   1972  12    9     2       8   125     ---
   1973   1    8     1      14    36     ---
   1973   2    8     0      11    29     ---
   1973   3   11     0      19    19     ---
   1973   4   12     2       4    36     ---
   1973   5   16     7       1    65     ---
   1973   6   19     9       0    87     ---
   1973   7   20    11       0    99     ---
   1973   8   22    11       0    64     ---
   1973   9   19    10       0    66     ---
   1973  10   14     4       5    31     ---
   1973  11   11     2      11    34     ---
   1973  12    9     1      12    75     ---
   1974   1   10     3       3   123     ---
   1974   2    9     2       7    94     ---
   1974   3    9     1       9    33     ---
   1974   4   13     3       4     8     ---
   1974   5   15     6       1    58     ---
   1974   6   19     9       0    90     ---
   1974   7   19    11       0    23     ---
   1974   8   19     9       0   101     ---
   1974   9   16     8       0   160     ---
   1974  10   11     4       2    57     ---
   1974  11   11     4       0   105     ---
   1974  12   11     5       2    34     ---
   1975   1   10     3       3    94     ---
   1975   2    9     1       7    15     ---
   1975   3    8     2       6    82     ---
   1975   4   12     4       6    43     ---
   1975   5   15     6       0    30     ---
   1975   6   21     9       0     5     ---
   1975   7   23    12       0    99     ---
   1975   8   24    13       0    58     ---
   1975   9   18     8       0    83     ---
   1975  10   14     6       4    21     ---
   1975  11   10     2       7    58     ---
   1975  12    7     1      12    15     ---
   1976   1    9     2      10    10     ---
   1976   2    7     1      10    37     ---
   1976   3    9     0      13    56     ---
   1976   4   13     2       8     2     ---
   1976   5   16     6       1    22     ---
   1976   6   23    11       0     4     ---
   1976   7   24    12       0    19     ---
   1976   8   24    11       0    39     ---
   1976   9   17     9       0   150     ---
   1976  10   14     7       0   188     ---
   1976  11   10     2       8    73     ---
   1976  12    5     0      15   108     ---
   1977   1    6     0      14    82     ---
   1977   2    9     3       7   110     ---
   1977   3   10     4       4    95     ---
   1977   4   11     3      11    25     ---
   1977   5   16     5       2    49     ---
   1977   6   16     8       0    74     ---
   1977   7   21    11       0    50     ---
   1977   8   20    11       0    86     ---
   1977   9   17     9       0    18     ---
   1977  10   16     8       0    26     ---
   1977  11   10     3       8    51     ---
   1977  12    9     3       2    88     ---
   1978   1    7     1      12    80     ---
   1978   2    6     0      14   137     ---
   1978   3   10     2       7    61     ---
   1978   4   11     3       6    38     ---
   1978   5   17     6       0    40     ---
   1978   6   18     9       0    41     ---
   1978   7   19    11       0    87     ---
   1978   8   20    10       0    28     ---
   1978   9   19     8       0    16     ---
   1978  10   16     7       1     5     ---
   1978  11   12     4       5    32     ---
   1978  12    8     2      12   128     ---
   1979   1    4     4      24    68     ---
   1979   2    5     1      13    50     ---
   1979   3    9     1       8   104     ---
   1979   4   12     4       5    60     ---
   1979   5   14     5       4   171     ---
   1979   6   18     9       0    48     ---
   1979   7   21    11       0    39     ---
   1979   8   19    10       0    76     ---
   1979   9   18     8       0    20     ---
   1979  10   15     7       0    64     ---
   1979  11   11     3       9    47     ---
   1979  12    9     3       9   136     ---
   1980   1    5     2      24    69     ---
   1980   2   10     3       4    86     ---
   1980   3    8     1       6   113     ---
   1980   4   13     4       6    28     ---
   1980   5   17     5       0    36     ---
   1980   6   18     9       0   139     ---
   1980   7   18    10       0    58     ---
   1980   8   20    11       0    29     ---
   1980   9   19    11       0    69     ---
   1980  10   13     5       3    69     ---
   1980  11    9     3       6    31     ---
   1980  12    9     2      10    47     ---
   1981   1    8     1      11    37     ---
   1981   2    7     0      17    38     ---
   1981   3   11     6       3    75     ---
   1981   4   13     3       3    23     ---
   1981   5   15     7       1    78     ---
   1981   6   17     9       0    39     ---
   1981   7   20    12       0    50     ---
   1981   8   21    11       0    22     ---
   1981   9   19     9       0   115     ---
   1981  10   12     5       3    62     ---
   1981  11   11     4       7    39     ---
   1981  12    5     1      16   147     ---
   1982   1    7     0      11    34     ---
   1982   2    8     2       6    42     ---
   1982   3   10     1      10    89     ---
   1982   4   14     3       4    18     ---
   1982   5   17     6       1    21     ---
   1982   6   20    11       0    97     ---
   1982   7   21    12       0    85     ---
   1982   8   20    11       0    46     ---
   1982   9   19    10       0    57     ---
   1982  10   14     6       1   106     ---
   1982  11   11     5       4   110     ---
   1982  12    8     1      12    82     ---
   1983   1   10     4       3    71     ---
   1983   2    5     0      17    14     ---
   1983   3   10     2       8    42     ---
   1983   4   11     2       5    77     ---
   1983   5   14     6       0    82     ---
   1983   6   19    10       0    33     ---
   1983   7   26    13       0    14     ---
   1983   8   24    12       0    29     ---
   1983   9   18    10       0    65     ---
   1983  10   14     6       2    56     ---
   1983  11   11     4       6    19    44.3
   1983  12    9     2       9    69    64.9
   1984   1    8     1      11   118    64.8
   1984   2    7     1       7    35    64.1
   1984   3    8     1       6    44    78.2
   1984   4   14     2       9     1   241.8
   1984   5   15     5       1    62   178.8
   1984   6   21     9       0    22   271.7
   1984   7   23    11       0    23   268.5
   1984   8   23    12       0    30   179.3
   1984   9   18    10       0    55   128.5
   1984  10   15     8       1    41    85.9
   1984  11   11     4       4   110    63.1
   1984  12    9     1      10    66    55.9
   1985   1    4     3      24    53    50.1
   1985   2    7     0      16    47    79.5
